student_id,cohort_year,exam_month,institution_region,program_type,age_years,prior_statistics_course,preclinical_gpa,undergrad_quant_score_pct,study_hours_biostats_per_week,study_days_before_exam,practice_exam_count,qbank_biostats_questions_completed,qbank_biostats_accuracy_pct,nbme_baseline_biostats_pct,epidemiology_quiz_pct,average_question_time_sec,sleep_hours_night_before_exam,test_anxiety_score_1_10,self_reported_confidence_1_10,biostat_performance_index_pct,step1_outcome,risk_band
S1BIO-166,2026,Jun,South,MD,21,0,3.05,66.6,10.8,28,1,78,51.8,47.6,67.3,77.5,6.6,5.1,6,63.8,Pass,Borderline
S1BIO-167,2026,Jan,Northeast,MD,23,0,3.24,68,9.3,19,3,141,81,65.3,67.3,85.7,6.5,5.3,6.3,64.1,Pass,Borderline
S1BIO-168,2026,Jun,West,MD,22,1,3.49,91.6,16.9,39,3,218,70.4,81,76.5,92.4,6.3,5.6,6.2,67.9,Pass,Borderline
S1BIO-169,2026,May,Northeast,MD,23,1,2.88,63.9,9.1,21,1,22,56.1,46.8,62.6,71.4,8.1,5,6.7,51.5,Pass,At Risk
S1BIO-170,2026,Apr,Midwest,IMG,24,0,2.69,37.4,13.7,23,1,75,36.9,41.5,35,126.9,5.3,7.1,4.7,37.2,Pass,At Risk
S1BIO-171,2026,Mar,West,MD,23,0,2.96,53.3,9.4,22,4,87,31,40.5,35.5,98.5,6.1,7,5,38,Fail,At Risk
S1BIO-172,2026,Jan,South,MD,26,0,2.81,54.1,10.3,15,1,37,34.5,31.2,26.7,79.5,6.5,4.8,5.3,40.3,Fail,At Risk
S1BIO-173,2026,Mar,Northeast,IMG,25,0,2.57,49.1,12.1,26,2,76,42.2,32.1,44.7,99.9,6.3,6.7,4.8,43.8,Pass,At Risk
S1BIO-174,2026,Mar,Northeast,MD,24,0,3.06,57.6,20.6,18,5,176,60.1,52.2,60,91.3,6.6,5.6,5.5,52.6,Pass,At Risk
S1BIO-175,2026,May,South,IMG,25,0,3.1,63,22,41,8,174,63.5,49,59.5,88.5,7.6,4.9,5.8,52,Pass,At Risk
S1BIO-176,2026,Mar,Northeast,MD,22,1,3.08,71.9,8.6,26,1,66,65.9,69.2,65.4,90.5,6,2.9,6.9,58.8,Pass,At Risk
S1BIO-177,2026,Apr,Midwest,MD,25,0,3.03,57.7,10,20,4,108,57.8,52.5,45.1,95.1,5.7,5.3,5.5,50.2,Pass,At Risk
S1BIO-178,2026,May,Northeast,MD,24,0,3.15,86,13.8,21,4,185,61,62.5,72.4,83.8,6.6,6.4,6.6,69.1,Pass,Borderline
S1BIO-179,2026,Mar,South,DO,25,0,3.26,66.5,28.1,50,6,283,71.8,63.8,58.3,91.4,8.2,3.4,6.3,51.6,Pass,At Risk
S1BIO-180,2026,Jan,West,IMG,22,1,3.65,87.8,15.7,28,6,253,71.8,70.7,89.5,73.5,5.9,6.5,9.5,69.9,Pass,Borderline
S1BIO-181,2026,Jan,West,MD,21,0,3.19,69.8,13.4,19,3,133,46,50.3,46.3,106.7,4.9,3.6,3.9,51.1,Pass,At Risk
S1BIO-182,2026,Jan,Midwest,MD,25,1,2.75,63.6,6.3,27,1,65,50.1,41.4,49.3,79.2,7.4,2.7,5.3,37.7,Pass,At Risk
S1BIO-183,2026,May,South,MD,24,1,2.51,53.6,3,20,1,20,39.8,40.3,36.3,105.3,6.3,5.2,5.7,34.2,Fail,At Risk
S1BIO-184,2026,Apr,Midwest,MD,22,1,3.31,82.7,14.2,25,3,156,59.2,57.1,59.5,91.7,6.1,4.2,6.1,52.7,Pass,At Risk
S1BIO-185,2026,May,South,MD,22,0,2.85,72.2,9.7,24,4,132,38.4,46,52.9,105.5,5.8,4.6,5.8,44.1,Pass,At Risk
S1BIO-186,2026,Apr,South,IMG,26,0,3.03,75.6,14.6,15,1,57,45.8,50.3,57.4,86.4,5.4,7.2,5.4,52,Pass,At Risk
S1BIO-187,2026,Apr,Northeast,MD,22,1,3.4,73.7,14.2,30,3,159,52.7,53.1,54.8,76.3,6.3,6,5,50.9,Pass,At Risk
S1BIO-188,2026,Apr,West,MD,26,1,3.14,72,5.3,27,1,66,38.4,46.1,54.4,98.2,5.9,6.3,3.4,44,Pass,At Risk
S1BIO-189,2026,May,South,MD,22,0,2.83,48.5,21.2,36,4,193,51.8,42.2,38.5,96.5,7.4,5.5,6,45.1,Pass,At Risk
S1BIO-190,2026,Mar,Northeast,MD,25,0,2.94,39.6,9.5,31,5,70,53.2,42.2,48.2,107.9,6.1,3.2,5.1,48.8,Pass,At Risk
S1BIO-191,2026,Feb,South,MD,23,1,3.08,55.7,16.7,35,1,120,59.4,38.9,51.7,84,6,6.4,4.7,53.4,Fail,At Risk
S1BIO-192,2026,May,South,MD,25,1,3.22,86.7,18.1,33,4,171,68,63.1,75.4,95.7,6.3,5.1,6.4,56.5,Pass,At Risk
S1BIO-193,2026,Apr,West,DO,23,0,3.27,55.5,14.2,22,3,92,60.2,48.9,51.7,115.3,6.5,4.3,7.3,53.5,Pass,At Risk
S1BIO-194,2026,Apr,Midwest,MD,24,1,2.93,61.4,11.6,24,2,59,31.2,52.9,40.5,92.8,6.8,4.7,7.1,42.1,Pass,At Risk
S1BIO-195,2026,May,Midwest,MD,24,1,3.11,71.5,14.8,44,5,214,71.5,58.3,56.9,70.2,8.1,2.8,7.1,58.1,Pass,At Risk
S1BIO-196,2026,Apr,Northeast,MD,22,1,3.04,57.3,12.5,23,4,120,54.8,45.3,67.6,88.7,5.3,5.6,5.5,56.4,Pass,At Risk
S1BIO-197,2026,May,South,DO,25,0,2.91,50.5,6.9,20,3,20,42.7,37.7,38.1,99.9,6.5,5.2,3.9,43.3,Fail,At Risk
S1BIO-198,2026,Apr,South,DO,23,0,3.01,39,14.3,24,3,85,51.4,52.8,58.2,99.9,6.4,5.8,5.9,49.6,Pass,At Risk
S1BIO-199,2026,May,Northeast,MD,23,0,3.1,65.5,5.7,23,1,92,57.5,57.5,49.3,87.7,7.6,4.8,6.9,52.8,Pass,At Risk
S1BIO-200,2026,May,South,DO,22,0,2.72,52.1,3,15,1,55,31.4,31.3,26.8,118,6.2,5.7,4.3,34,Pass,At Risk
S1BIO-201,2026,Apr,Midwest,MD,21,0,3.34,59.6,17.8,37,6,197,64,45.6,54.5,80.5,6.7,6.3,4.1,52.9,Pass,At Risk
S1BIO-202,2026,May,Northeast,MD,23,1,3.03,65.9,19.1,42,5,165,70.1,67.4,58.6,64.8,6.1,4.1,7.6,60.5,Pass,Borderline
S1BIO-203,2026,Jun,South,MD,28,1,3.41,96.8,12.9,24,1,165,55.9,46.4,64.7,99.4,5.2,4.6,6.8,59.2,Fail,At Risk
S1BIO-204,2026,Apr,Northeast,MD,25,0,3.52,66.3,13.2,24,4,166,65.9,59.5,56.2,59.3,7.5,5.5,5.7,64.4,Pass,Borderline
S1BIO-205,2026,Apr,Northeast,MD,24,0,2.69,35.2,9.5,17,1,61,34.5,34.4,44.9,98.5,6.9,4.9,4.9,36.7,Pass,At Risk
S1BIO-206,2026,May,South,IMG,24,0,2.73,56.5,12.9,24,2,20,43.9,39.9,42.7,129,7.3,7,5.5,42.1,Fail,At Risk
S1BIO-207,2026,May,West,DO,24,0,2.88,81.1,5.8,30,5,105,54.3,56.4,55.5,90.7,5.8,6.5,5.8,54.3,Pass,At Risk
S1BIO-208,2026,Feb,West,MD,25,1,3.1,68.1,6.5,23,1,72,57.5,48.2,64.5,77.3,6.9,6,5.4,55.1,Pass,At Risk
S1BIO-209,2026,Jun,West,MD,22,0,3.23,71,14.9,25,2,149,56.6,51.3,64.2,93.3,7.1,5.7,6.5,53.7,Pass,At Risk
S1BIO-210,2026,Jan,South,MD,26,1,3.89,100,11.5,22,4,212,90.3,83,91.2,64.4,7.4,4.4,8.2,82.3,Pass,Solid
S1BIO-211,2026,May,Northeast,MD,25,1,3.38,64.5,12.2,21,2,104,67.8,57.3,58,88.5,7,4.9,5.2,57.8,Pass,At Risk
S1BIO-212,2026,May,South,MD,25,1,3.25,74.2,12.5,30,2,148,59.5,61.3,56.1,89.5,6.9,4.1,5.1,54.6,Pass,At Risk
S1BIO-213,2026,Jun,South,MD,25,1,3.37,87,7.4,31,4,158,64.6,58.2,61.1,82,5.2,7.1,6.8,56,Pass,At Risk
S1BIO-214,2026,Feb,West,MD,24,1,2.96,86.3,8,15,1,145,48.5,57.5,57.4,107.4,7.2,6.4,6.4,57.3,Pass,At Risk
S1BIO-215,2026,May,Northeast,DO,25,1,2.92,65,13.5,32,2,112,51.1,46,53.8,102,5.8,7.1,5,51,Pass,At Risk
S1BIO-216,2026,Apr,South,MD,25,1,3.29,66.8,11.5,33,5,188,72.8,64.4,63.5,86.5,7.9,2.2,6.8,59.8,Pass,At Risk
S1BIO-217,2026,Apr,Northeast,MD,23,0,3.09,69.4,18.1,39,5,146,38.2,34.9,51.3,90.8,6.1,5.5,4.9,42.7,Fail,At Risk
S1BIO-218,2026,Feb,South,DO,23,1,2.83,56.8,11.4,15,2,82,46.9,43.4,49.1,112.2,5.4,6,4.1,42.7,Pass,At Risk
S1BIO-219,2026,May,Midwest,MD,24,1,2.94,55.9,12.7,20,3,145,48.9,48.7,52.5,92.7,7.5,5.4,5.1,53.8,Pass,At Risk
S1BIO-220,2026,Apr,South,MD,26,0,3.34,63.8,19.2,30,5,121,52.1,56.1,63,97.1,6.3,5.9,4,51.1,Pass,At Risk
S1BIO-221,2026,Feb,South,MD,22,1,3.36,100,3.5,23,1,111,75.1,61.6,77.6,69,7.5,4.4,6.5,68.1,Pass,Borderline
S1BIO-222,2026,May,South,MD,21,0,2.5,44.8,17.8,39,5,83,34.4,29,36.3,98.9,6.2,7.3,3.9,31.9,Fail,At Risk
S1BIO-223,2026,May,South,DO,24,0,3.44,70.8,15.9,28,2,125,46.8,47,54.1,105.5,4.5,7.2,5.6,50.2,Pass,At Risk
S1BIO-224,2026,May,West,MD,24,0,2.92,40.1,14.2,26,3,119,44.6,41.2,35,95.3,7.4,6.7,5,38.2,Pass,At Risk
S1BIO-225,2026,Jun,West,MD,24,0,2.74,56,9,20,2,78,50.8,50,41.6,86.3,6.6,2.7,6,50.3,Pass,At Risk
S1BIO-226,2026,Apr,West,DO,24,1,3.14,79.2,7,22,1,20,51.1,48.9,60.2,88.4,5.9,7.2,6.4,51.7,Fail,At Risk
S1BIO-227,2026,Jun,West,DO,23,0,2.82,39.1,10.8,14,1,47,49.4,48,55.3,108.6,5.6,7.8,5.5,49.4,Pass,At Risk
S1BIO-228,2026,Jun,South,DO,26,1,2.82,47.2,5.6,33,2,107,50.8,42,45.8,90.4,6,5.2,5.6,51.1,Pass,At Risk
S1BIO-229,2026,Mar,Midwest,MD,21,1,2.97,57.2,16.9,26,4,122,38.6,44.4,42.3,93.2,7,4.5,5.6,39.7,Fail,At Risk
S1BIO-230,2026,Mar,South,MD,22,0,3.08,57.6,8.1,30,2,113,52.2,52.1,69,88.4,7.9,4.9,5.3,57.3,Pass,At Risk
S1BIO-231,2026,Apr,South,IMG,24,0,2.85,53,15.4,33,5,118,50.6,52.2,49.6,70.6,7.8,3.6,6.6,43.5,Pass,At Risk
S1BIO-232,2026,Apr,West,DO,21,0,2.83,59.8,8.7,18,1,26,51.4,49.5,42.5,75.5,6.8,4,7.1,45.5,Pass,At Risk
S1BIO-233,2026,May,Northeast,MD,24,0,2.99,75.8,8.8,26,4,147,40.3,65.3,50.4,91,7.9,4.8,6.5,61.8,Pass,Borderline
S1BIO-234,2026,May,West,MD,26,0,2.66,63.7,5.2,20,2,35,58.6,35.9,45.2,88.2,7,5.1,6.8,42.4,Fail,At Risk
S1BIO-235,2026,May,South,MD,24,0,3.43,79.5,9.1,25,3,200,71.9,70.2,82.7,89.9,6.7,6.1,5.9,68.3,Pass,Borderline
S1BIO-236,2026,Apr,Midwest,IMG,25,1,3.13,72.3,12.1,28,3,160,61.6,52.3,56,98.4,6.1,4.4,5.2,58.4,Pass,At Risk
S1BIO-237,2026,Feb,Midwest,MD,22,0,2.68,35.5,18,21,3,32,36,28,38.8,120.7,6,7,4.1,25.3,Fail,At Risk
S1BIO-238,2026,Jun,West,MD,23,0,3.23,54.2,6.2,22,2,73,69.5,51.8,63.1,105.6,7.5,4,6.4,51.7,Pass,At Risk
S1BIO-239,2026,Mar,Midwest,MD,23,1,2.95,58.8,17.5,32,4,142,58.7,46.9,49,97.5,6,5.2,6.3,44.9,Fail,At Risk
S1BIO-240,2026,Jun,Midwest,MD,23,1,3.25,69.6,11.6,14,1,115,65.7,73.5,62.2,93.3,7.5,5.2,6.3,58.6,Pass,At Risk
S1BIO-241,2026,Feb,Northeast,DO,26,0,3.03,38.8,12.5,32,4,155,52.7,44.8,40.6,89.3,6.8,4.6,4.9,34.9,Fail,At Risk
S1BIO-242,2026,Jun,South,MD,25,0,3.04,64.4,9.4,18,5,91,44.6,37.2,48.4,122.5,5.8,6.5,4.9,47.6,Fail,At Risk
S1BIO-243,2026,Feb,Northeast,DO,22,1,3.22,74.8,14.5,22,3,125,62.1,59.7,62.7,102.7,7.9,2.7,5.6,69.5,Pass,Borderline
S1BIO-244,2026,Mar,Midwest,IMG,25,1,3.52,68.2,18.7,24,4,245,65.1,49.8,72.4,85.1,6.7,6.9,5.9,62.6,Pass,Borderline
S1BIO-245,2026,Jan,South,MD,25,0,2.58,50.4,3,10,1,20,25.7,29.7,44,109.6,6.5,5.1,4.8,28.5,Fail,At Risk
S1BIO-246,2026,May,Midwest,MD,26,1,2.69,55,8.8,16,2,98,39.2,43.6,47.6,111.5,6.1,6.2,5.8,41.2,Pass,At Risk
S1BIO-247,2026,Jun,Northeast,MD,26,0,3.09,52.1,10.2,23,5,95,52.1,52.1,36.9,93.6,6.5,6.4,5.8,45,Pass,At Risk
S1BIO-248,2026,Apr,Northeast,DO,22,1,2.95,59.8,15.1,33,1,84,33.8,45.6,50.6,100.4,5.6,8.3,2.9,39.6,Pass,At Risk
S1BIO-249,2026,Jun,Midwest,MD,23,1,3.44,88.1,20.5,27,5,199,75,65.1,76.3,85.8,7.4,4.7,7.1,70.6,Pass,Borderline
S1BIO-250,2026,May,Northeast,MD,22,1,3.04,70.8,8.9,23,3,39,56.5,51.4,61.4,89.2,5.6,3.7,5.1,56.8,Pass,At Risk
S1BIO-251,2026,May,Northeast,DO,23,0,2.84,36.8,12.2,27,3,133,45.9,35.3,39.3,99.2,6.3,5.9,6.1,34.8,Pass,At Risk
S1BIO-252,2026,Jun,Northeast,MD,25,0,3.09,63.1,11.5,23,2,141,58.9,51.8,62,75.7,7.2,5.1,6.1,58.5,Pass,At Risk
S1BIO-253,2026,Mar,West,IMG,26,1,3.79,86.5,12.6,30,5,192,96,76,89.1,55.9,7.1,3.8,7.1,84.3,Pass,High Mastery
S1BIO-254,2026,Apr,Midwest,MD,24,1,3.62,67.8,19.5,19,4,103,71.5,50.8,69.8,92.1,5.8,6.8,6.2,66.1,Pass,Borderline
S1BIO-255,2026,Jun,South,MD,23,0,2.71,41.6,18.7,37,3,121,32.6,32.9,37.1,116.2,5.5,7.3,3.8,49.5,Fail,At Risk
S1BIO-256,2026,Jun,South,MD,24,1,2.73,47.8,16.4,35,4,102,51.7,39.1,48.6,91.4,6.4,3.8,6.7,43.9,Pass,At Risk
S1BIO-257,2026,Jun,South,DO,22,0,3.29,67.9,6.9,14,2,129,60.1,64.2,62.7,95.7,5.8,3.7,6.3,74.2,Pass,Solid
S1BIO-258,2026,Jun,Midwest,MD,27,0,3.07,51.7,19.5,22,3,114,38.6,52.2,56.2,92.4,6.5,5.1,3.8,43.3,Fail,At Risk
S1BIO-259,2026,Feb,Midwest,DO,21,1,3.2,69.2,17.2,28,4,167,54.5,48.4,60.9,75.4,6.8,3.1,4.7,53.2,Pass,At Risk
S1BIO-260,2026,Jun,Northeast,IMG,24,1,3.39,70.7,13.5,19,2,154,61.1,43.4,63.4,89.8,5.7,7.8,5.9,55.7,Pass,At Risk
S1BIO-261,2026,Apr,Northeast,MD,27,0,2.54,41.4,12.7,26,4,90,43.2,41.6,41.8,97.4,6.4,5.5,4.7,39.1,Pass,At Risk
S1BIO-262,2026,Jun,Northeast,IMG,24,1,3.49,71.7,21.1,35,6,191,75.2,59.1,67.9,89.4,8.3,3,5.9,62.3,Pass,Borderline
S1BIO-263,2026,Apr,Midwest,MD,23,0,2.3,23.3,21,39,2,92,34.1,28,37.3,110,7.2,7.6,4.2,25,Fail,At Risk
S1BIO-264,2026,May,Midwest,MD,23,1,2.98,43.2,12.9,28,2,104,49.7,34.3,50,120.6,4.8,7.1,4.8,40.2,Fail,At Risk
S1BIO-265,2026,Apr,South,MD,24,0,3.5,47.4,12.3,34,5,255,54.6,51.6,53.6,108.2,8,3.9,6.3,57.9,Pass,At Risk
S1BIO-266,2026,Apr,Northeast,IMG,26,1,2.73,45.6,9.8,33,5,67,46.3,40.1,45,98.9,7.6,4.9,6,42.7,Pass,At Risk
S1BIO-267,2026,Feb,Northeast,MD,21,1,3.17,82.5,5.7,24,2,100,61.4,63.4,52.8,99.4,5.8,5.5,6.6,59.7,Pass,At Risk
S1BIO-268,2026,Jun,West,MD,26,0,2.79,39.2,10.7,19,1,20,32.8,28,42.5,94.3,6.5,6.8,3.7,37.7,Pass,At Risk
S1BIO-269,2026,May,South,MD,22,1,2.72,53.7,6.5,14,4,56,35.5,36.3,50.2,112.3,5.8,7.2,3.7,44.9,Fail,At Risk
S1BIO-270,2026,Mar,Midwest,MD,23,1,3.08,56.9,18.8,26,3,100,60.3,48.2,60.5,110.8,5.8,8.5,5.6,44.8,Pass,At Risk
S1BIO-271,2026,May,Midwest,MD,23,1,3.41,79.2,7.7,32,5,213,69.6,57.8,66,90.5,7.7,4.4,7.2,64.3,Pass,Borderline
S1BIO-272,2026,May,South,IMG,25,0,2.63,42.8,19.6,35,5,126,56.4,54.5,40.5,94.3,7.8,2.8,5.8,43.6,Pass,At Risk
S1BIO-273,2026,Apr,Northeast,DO,21,1,3.34,82.9,7.1,20,4,109,65,59.9,66,48.4,7.7,2.8,6.6,62.5,Pass,Borderline
S1BIO-274,2026,Mar,Northeast,MD,25,1,2.91,59.5,13.3,21,4,93,48.5,50.2,63.5,82.9,6.8,4.5,6.5,54.1,Pass,At Risk
S1BIO-275,2026,Jun,Midwest,IMG,27,0,2.81,41.4,15.4,28,5,59,46.9,47.5,43.1,90.2,6,5.7,4.8,37.5,Fail,At Risk
S1BIO-276,2026,May,Midwest,MD,22,1,3.13,61.6,7.2,15,1,60,42.9,40.2,70.6,91.4,5.2,6.1,4.6,46.1,Fail,At Risk
S1BIO-277,2026,Apr,Midwest,IMG,25,1,2.83,62.8,9,34,4,51,53.1,42.3,62.3,89.3,7.5,4.9,7.4,44.3,Fail,At Risk
S1BIO-278,2026,May,South,MD,23,0,3.13,43.8,20.3,22,4,130,52.6,44.4,40.7,91,5.9,5.5,5,43,Pass,At Risk
S1BIO-279,2026,Feb,Northeast,MD,24,1,2.81,67.4,8.9,20,1,20,37.9,51.7,54.1,86.3,5.7,5.5,4.1,56.5,Pass,At Risk
S1BIO-280,2026,Apr,West,MD,24,0,2.99,36.9,20.1,37,4,127,47.9,46.7,47.5,86.5,6.3,8,4.6,44.8,Fail,At Risk
S1BIO-281,2026,Mar,West,IMG,23,1,3.25,62.8,17.8,39,5,179,57.3,43.3,44.7,94,5,8.8,5.8,44.3,Fail,At Risk
S1BIO-282,2026,Mar,South,MD,25,0,3.27,71.1,13.6,24,3,142,62,60.9,68.7,97.6,6.6,5.4,6.5,53.2,Pass,At Risk
S1BIO-283,2026,May,West,MD,27,1,3.61,86.3,13.8,33,5,164,71.1,65.2,77.8,71.7,6.9,4,7.2,63.4,Pass,Borderline
S1BIO-284,2026,Jun,Midwest,MD,23,0,3.1,61.5,25,37,7,152,47.8,42.2,49.5,94.5,5.8,7.3,4.9,37.6,Fail,At Risk
S1BIO-285,2026,Apr,Midwest,MD,25,0,3.44,84.4,18.7,26,2,162,65.6,69.7,74.3,76.1,5.8,7.8,7.5,65.6,Pass,Borderline
S1BIO-286,2026,Mar,Midwest,MD,22,0,2.6,28.4,20.8,28,3,102,32.8,35.2,26.4,115.3,6.3,8.5,3.1,27.5,Fail,At Risk
S1BIO-287,2026,May,West,DO,22,0,2.74,53.4,8.7,25,2,44,52.9,60.4,47.5,101,5.5,5.3,5.5,53.9,Fail,At Risk
S1BIO-288,2026,Jun,Midwest,IMG,25,1,2.94,56.4,9.8,10,2,111,62.1,57.8,66.4,58,5.8,4.7,5.5,57.5,Pass,At Risk
S1BIO-289,2026,May,Northeast,MD,26,1,3.7,67.8,14,34,4,84,58.3,61.5,54.6,101.1,6.3,5.4,5.3,56.9,Pass,At Risk
S1BIO-290,2026,Jun,South,DO,24,1,2.97,47.9,11.7,21,3,38,36.4,36.7,33.2,116.9,6.3,7.5,4.1,39.1,Pass,At Risk
S1BIO-291,2026,Apr,West,MD,23,0,2.8,63,15.9,25,4,100,52.6,41,49.7,86.1,6.2,6.8,5.1,54.3,Fail,At Risk
S1BIO-292,2026,May,Northeast,DO,24,1,2.61,51,4.8,32,2,87,42.7,43.5,50.7,88.6,6,5.5,5,48.1,Pass,At Risk
S1BIO-293,2026,Mar,South,DO,22,0,3.02,48.8,12.4,24,2,112,46.4,45.4,49.4,94.8,6.3,6.7,5.3,49.4,Fail,At Risk
S1BIO-294,2026,Apr,South,MD,25,1,3.38,69.8,15.5,26,2,113,70.2,50.6,70.5,83.1,5.3,4.8,3.1,63.4,Pass,Borderline
S1BIO-295,2026,Apr,South,DO,25,0,3.25,73,16.8,38,4,116,64.9,53.7,62.5,95.5,6.4,8.5,5.2,55.3,Pass,At Risk
S1BIO-296,2026,Apr,Midwest,MD,23,0,2.82,48,8.6,20,1,90,45,43.4,47.2,80.8,6.5,5.6,4.6,44.8,Pass,At Risk
S1BIO-297,2026,Jun,West,MD,23,1,3.2,89.4,12.8,22,4,124,54.4,59.6,72.8,74.8,6.5,5.1,7.6,55,Pass,At Risk
S1BIO-298,2026,Jun,South,DO,24,1,3.09,75.3,10.4,22,2,76,53.7,52.1,48.2,108.1,7,5.2,4.7,51.9,Pass,At Risk
S1BIO-299,2026,Mar,Northeast,MD,23,1,3.2,78.1,12.5,29,6,107,63.9,55.7,67.2,83.4,5.4,7.8,5.9,56.3,Pass,At Risk
S1BIO-300,2026,Mar,Northeast,MD,24,1,2.94,77.2,12.5,31,7,180,62.3,55.2,67.9,96.1,7.9,1.2,7.9,58.3,Pass,At Risk
